Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	5
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	70
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	33
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	8
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	1
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	11
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	40
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	18
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	14
Respiration	ATP synthases	F0F1-type_ATP_synthase	121
Respiration	ATP synthases	V-Type_ATP_synthase	7
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	5
Virulence	Adhesion	Curli_production	7
Virulence	Adhesion	Streptococcus_pyogenes_recombinatorial_zone	5
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	32
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	4
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	15
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	15
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	35
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	20
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	34
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Anaerobic_benzoate_metabolism	1
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	6
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	116
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	8
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	12
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	41
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	54
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	3
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	6
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	76
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	14
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	18
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	141
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	24
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	2
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	75
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	69
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	40
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	221
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	4
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	4
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	5
Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534	14
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate_Biosynthesis	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	43
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide_Biosynthesis	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	21
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Phosphorylcholine_incorporation_in_LPS	10
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	42
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	45
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	25
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	114
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	18
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	166
Clustering-based subsystems	Cell Division	CBSS-393130.3.peg.794	17
Clustering-based subsystems	Cell Division	Cell_Division_Cluster	8
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	7
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	399
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	22
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	38
Cell Wall and Capsule	Cell Wall and Capsule	YjeE	36
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cell_Division	78
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cytoskeleton	232
Cell Division and Cell Cycle	Cell cycle in Prokaryota	MukBEF_Chromosome_Condensation	11
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Murein_hydrolase_regulation_and_cell_death	3
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Two_cell_division_clusters_relating_to_chromosome_partitioning	30
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	51
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	11
Carbohydrates	Central carbohydrate metabolism	Embden-Meyerhof_and_Gluconeogenesis_Archaeal	73
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	55
Carbohydrates	Central carbohydrate metabolism	Glycogen_metabolism	94
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	24
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	2
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal_Metabolism	3
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	122
Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin_oxidoreductase	11
Carbohydrates	Central carbohydrate metabolism	Pyruvate_Alanine_Serine_Interconversions	11
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	50
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	30
