Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_Iron_(II)_and_Manganese	6
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	29
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	45
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	71
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	12
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	13
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	13
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	2
Membrane Transport	ABC transporters	ABC_transporter_molybdenum_(TC_3.A.1.8.1)	2
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	57
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	20
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	22
Respiration	ATP synthases	F0F1-type_ATP_synthase	193
Respiration	ATP synthases	V-Type_ATP_synthase	29
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	6
Virulence	Adhesion	Adhesion_of_Campylobacter	2
Virulence	Adhesion	Curli_production	15
Virulence	Adhesion	Streptococcus_pyogenes_recombinatorial_zone	3
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	62
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	16
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	23
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	20
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	72
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	53
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	18
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	6
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	158
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	2
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	24
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	51
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	133
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	21
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	5
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	75
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	20
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	29
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	185
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	55
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	86
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	60
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	41
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	313
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	11
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	8
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	26
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	8
Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate_metabolism	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate_Biosynthesis	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	17
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide_Biosynthesis	9
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	31
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Phosphorylcholine_incorporation_in_LPS	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	57
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	88
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	125
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	128
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	6
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	294
Clustering-based subsystems	Cell Division	CBSS-393130.3.peg.794	30
Clustering-based subsystems	Cell Division	Cell_Division_Cluster	14
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	34
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	545
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	23
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	54
Cell Wall and Capsule	Cell Wall and Capsule	YjeE	27
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cell_Division	120
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cytoskeleton	348
Cell Division and Cell Cycle	Cell cycle in Prokaryota	MukBEF_Chromosome_Condensation	33
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Murein_hydrolase_regulation_and_cell_death	26
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Two_cell_division_clusters_relating_to_chromosome_partitioning	41
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	102
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	4
Carbohydrates	Central carbohydrate metabolism	Embden-Meyerhof_and_Gluconeogenesis_Archaeal	66
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	136
Carbohydrates	Central carbohydrate metabolism	Glycogen_metabolism	160
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	13
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	10
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal_Metabolism	13
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	149
Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin_oxidoreductase	30
Carbohydrates	Central carbohydrate metabolism	Pyruvate_Alanine_Serine_Interconversions	48
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	66
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	22
Carbohydrates	Central carbohydrate metabolism	TCA_Cycle	305
Clustering-based subsystems	Cluster of Unknown Function	CBSS-221988.1.peg.771	20
Clustering-based subsystems	Clustering-based subsystems	Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	94
Clustering-based subsystems	Clustering-based subsystems	CBSS-160492.1.peg.550	32
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.1262	3
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.1389	12
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.868	48
Clustering-based subsystems	Clustering-based subsystems	CBSS-176299.4.peg.1996	184
Clustering-based subsystems	Clustering-based subsystems	CBSS-214092.1.peg.3450	19
Clustering-based subsystems	Clustering-based subsystems	CBSS-221109.1.peg.2233	9
Clustering-based subsystems	Clustering-based subsystems	CBSS-224911.1.peg.435	2
Clustering-based subsystems	Clustering-based subsystems	CBSS-228410.1.peg.134	19
Clustering-based subsystems	Clustering-based subsystems	CBSS-235.1.peg.567	48
Clustering-based subsystems	Clustering-based subsystems	CBSS-243277.1.peg.4359	30
Clustering-based subsystems	Clustering-based subsystems	CBSS-251221.1.peg.1863	13
Clustering-based subsystems	Clustering-based subsystems	CBSS-257314.1.peg.752	28
Clustering-based subsystems	Clustering-based subsystems	CBSS-261591.3.peg.3916	37
Clustering-based subsystems	Clustering-based subsystems	CBSS-262719.3.peg.410	12
Clustering-based subsystems	Clustering-based subsystems	CBSS-266117.6.peg.2476	88
Clustering-based subsystems	Clustering-based subsystems	CBSS-269801.1.peg.1715	1
Clustering-based subsystems	Clustering-based subsystems	CBSS-281090.3.peg.464	42
Clustering-based subsystems	Clustering-based subsystems	CBSS-288681.3.peg.1039	49
Clustering-based subsystems	Clustering-based subsystems	CBSS-290633.1.peg.1906	9
Clustering-based subsystems	Clustering-based subsystems	CBSS-292415.3.peg.2341	3
Clustering-based subsystems	Clustering-based subsystems	CBSS-296591.1.peg.2330	6
Clustering-based subsystems	Clustering-based subsystems	CBSS-312309.3.peg.1965	34
Clustering-based subsystems	Clustering-based subsystems	CBSS-314225.3.peg.515	2
