Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	3
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	87
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	53
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	1
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	7
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	1
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	29
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	7
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	1
Respiration	ATP synthases	F0F1-type_ATP_synthase	160
Respiration	ATP synthases	V-Type_ATP_synthase	13
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	2
Virulence	Adhesion	Streptococcus_pyogenes_recombinatorial_zone	1
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	40
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	8
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	11
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	1
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	37
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	53
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	9
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	142
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	1
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	3
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	7
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	31
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	13
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	1
