Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	6
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	34
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	20
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	1
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	10
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	2
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	14
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	7
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	3
Respiration	ATP synthases	F0F1-type_ATP_synthase	108
Respiration	ATP synthases	V-Type_ATP_synthase	3
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	1
Virulence	Adhesion	Adhesins_in_Staphylococcus	1
Virulence	Adhesion	Curli_production	8
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	21
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	3
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	59
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	15
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	22
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	19
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	11
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	3
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	48
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	87
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	1
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	21
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	60
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	5
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids	2
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	44
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	10
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	11
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	65
