Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_Iron_(II)_and_Manganese	2
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	23
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	91
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	117
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	12
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	1
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	35
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	15
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	11
Respiration	ATP synthases	F0F1-type_ATP_synthase	241
Respiration	ATP synthases	V-Type_ATP_synthase	1
Virulence	Adhesion	Curli_production	1
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	87
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	5
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	7
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	50
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	84
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	75
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	22
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	1
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	236
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	23
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	23
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	39
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	46
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	6
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	116
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	3
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	47
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	211
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	86
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	157
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	125
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	63
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	375
Amino Acids and Derivatives	Branched-chain amino acids	Isoleucine_degradation	1
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	1
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	3
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	12
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	5
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	23
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	8
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	15
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	39
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	143
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	287
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	11
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	313
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	25
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	721
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	202
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	68
Cell Wall and Capsule	Cell Wall and Capsule	YjeE	62
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cell_Division	89
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cytoskeleton	564
Cell Division and Cell Cycle	Cell cycle in Prokaryota	MukBEF_Chromosome_Condensation	30
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Murein_hydrolase_regulation_and_cell_death	2
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Two_cell_division_clusters_relating_to_chromosome_partitioning	41
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	90
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	4
Carbohydrates	Central carbohydrate metabolism	Embden-Meyerhof_and_Gluconeogenesis_Archaeal	117
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	54
Carbohydrates	Central carbohydrate metabolism	Glycogen_metabolism	286
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	35
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	12
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	212
Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin_oxidoreductase	8
Carbohydrates	Central carbohydrate metabolism	Pyruvate_Alanine_Serine_Interconversions	12
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	19
