Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_Iron_(II)_and_Manganese	29
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	34
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	181
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	182
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	87
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	47
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	15
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	25
Membrane Transport	ABC transporters	ABC_transporter_molybdenum_(TC_3.A.1.8.1)	6
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	76
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	81
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	78
Respiration	ATP synthases	F0F1-type_ATP_synthase	118
Respiration	ATP synthases	V-Type_ATP_synthase	7
Virulence	Adhesion	Curli_production	5
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	121
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	27
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	21
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	141
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	69
Amino Acids and Derivatives	Amino Acids and Derivatives	L-2-amino-thiazoline-4-carboxylic_acid-Lcysteine_conversion	2
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	118
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	34
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	29
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	184
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	18
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	31
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	171
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	211
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	62
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	15
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	31
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids	7
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	98
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	39
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	94
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	109
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	48
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	15
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	107
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	31
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	37
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	384
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	11
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	1
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	11
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	9
Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534	7
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate_metabolism	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	64
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide_Biosynthesis	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	37
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	43
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	208
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	39
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	87
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	164
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	14
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	469
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	4
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	44
Cell Wall and Capsule	Cell Wall and Capsule	YjeE	29
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cell_Division	114
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cytoskeleton	234
Cell Division and Cell Cycle	Cell cycle in Prokaryota	MukBEF_Chromosome_Condensation	83
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Murein_hydrolase_regulation_and_cell_death	53
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Two_cell_division_clusters_relating_to_chromosome_partitioning	5
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	135
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	12
Carbohydrates	Central carbohydrate metabolism	Embden-Meyerhof_and_Gluconeogenesis_Archaeal	79
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	419
Carbohydrates	Central carbohydrate metabolism	Glycogen_metabolism	118
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	34
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	39
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal_Metabolism	17
