Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_Iron_(II)_and_Manganese	7
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	6
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	35
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	31
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	14
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	22
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	4
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	4
Membrane Transport	ABC transporters	ABC_transporter_molybdenum_(TC_3.A.1.8.1)	1
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	22
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	10
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	17
Respiration	ATP synthases	F0F1-type_ATP_synthase	116
Respiration	ATP synthases	V-Type_ATP_synthase	9
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	12
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	24
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	22
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	116
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	76
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	273
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	9
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	6
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	20
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	148
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	3
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	57
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	187
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	14
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	21
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	2
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids	36
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	32
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	11
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	12
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	121
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	33
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	102
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	81
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	39
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	309
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	10
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	1
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	4
Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534	26
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate_metabolism	6
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate_Biosynthesis	15
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	5
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide_Biosynthesis	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	22
Cell Wall and Capsule	Capsular and extracellular polysacchrides	O-Methyl_Phosphoramidate_Capsule_Modification_in_Campylobacter	9
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	36
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	224
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	78
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	3
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	160
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	11
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	462
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	22
Cell Wall and Capsule	Cell Wall and Capsule	YjeE	44
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cell_Division	104
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cytoskeleton	321
Cell Division and Cell Cycle	Cell cycle in Prokaryota	MukBEF_Chromosome_Condensation	33
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Murein_hydrolase_regulation_and_cell_death	22
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Two_cell_division_clusters_relating_to_chromosome_partitioning	2
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	30
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	6
Carbohydrates	Central carbohydrate metabolism	Embden-Meyerhof_and_Gluconeogenesis_Archaeal	24
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	426
Carbohydrates	Central carbohydrate metabolism	Glycogen_metabolism	73
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	16
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	9
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal_Metabolism	26
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	100
Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin_oxidoreductase	95
Carbohydrates	Central carbohydrate metabolism	Pyruvate_Alanine_Serine_Interconversions	41
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	309
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	106
Carbohydrates	Central carbohydrate metabolism	TCA_Cycle	460
Clustering-based subsystems	Cluster of Unknown Function	CBSS-221988.1.peg.771	16
Clustering-based subsystems	Clustering-based subsystems	Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	43
Clustering-based subsystems	Clustering-based subsystems	CBSS-160492.1.peg.550	10
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.1389	4
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.868	25
Clustering-based subsystems	Clustering-based subsystems	CBSS-176299.4.peg.1996	151
Clustering-based subsystems	Clustering-based subsystems	CBSS-214092.1.peg.3450	10
Clustering-based subsystems	Clustering-based subsystems	CBSS-224911.1.peg.435	1
Clustering-based subsystems	Clustering-based subsystems	CBSS-228410.1.peg.134	64
Clustering-based subsystems	Clustering-based subsystems	CBSS-235.1.peg.567	28
Clustering-based subsystems	Clustering-based subsystems	CBSS-243277.1.peg.4359	17
Clustering-based subsystems	Clustering-based subsystems	CBSS-251221.1.peg.1863	67
Clustering-based subsystems	Clustering-based subsystems	CBSS-257314.1.peg.752	41
Clustering-based subsystems	Clustering-based subsystems	CBSS-261591.3.peg.3916	34
Clustering-based subsystems	Clustering-based subsystems	CBSS-266117.6.peg.2476	6
Clustering-based subsystems	Clustering-based subsystems	CBSS-269801.1.peg.1715	6
Clustering-based subsystems	Clustering-based subsystems	CBSS-281090.3.peg.464	78
Clustering-based subsystems	Clustering-based subsystems	CBSS-290633.1.peg.1906	9
Clustering-based subsystems	Clustering-based subsystems	CBSS-292415.3.peg.2341	1
Clustering-based subsystems	Clustering-based subsystems	CBSS-296591.1.peg.2330	120
Clustering-based subsystems	Clustering-based subsystems	CBSS-312309.3.peg.1965	27
Clustering-based subsystems	Clustering-based subsystems	CBSS-316057.3.peg.1294	3
Clustering-based subsystems	Clustering-based subsystems	CBSS-316057.3.peg.3521	11
Clustering-based subsystems	Clustering-based subsystems	CBSS-316273.3.peg.227	64
Clustering-based subsystems	Clustering-based subsystems	CBSS-316279.3.peg.746	54
Clustering-based subsystems	Clustering-based subsystems	CBSS-316407.3.peg.2816	4
Clustering-based subsystems	Clustering-based subsystems	CBSS-320372.3.peg.6046	11
Clustering-based subsystems	Clustering-based subsystems	CBSS-323097.3.peg.2594	22
Clustering-based subsystems	Clustering-based subsystems	CBSS-335283.3.peg.454	140
Clustering-based subsystems	Clustering-based subsystems	CBSS-342610.3.peg.1794	7
Clustering-based subsystems	Clustering-based subsystems	CBSS-345072.3.peg.1318	72
Clustering-based subsystems	Clustering-based subsystems	CBSS-393123.3.peg.2365	2
Clustering-based subsystems	Clustering-based subsystems	CBSS-393124.3.peg.2657	5
Clustering-based subsystems	Clustering-based subsystems	CBSS-393131.3.peg.612	2
Clustering-based subsystems	Clustering-based subsystems	CBSS-56780.10.peg.1536	66
Clustering-based subsystems	Clustering-based subsystems	CBSS-630.2.peg.3360	40
Carbohydrates	Clustering-based subsystems	Cluster_Ytf_and_putative_sugar_transporter	29
Clustering-based subsystems	Clustering-based subsystems	Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	35
Clustering-based subsystems	Clustering-based subsystems	Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase	88
Clustering-based subsystems	Clustering-based subsystems	EC49-61	10
Clustering-based subsystems	Clustering-based subsystems	EC699-706	62
Clustering-based subsystems	Clustering-based subsystems	Putative_hemin_transporter	2
Carbohydrates	Clustering-based subsystems	Unknown_sugar_utilization_(cluster_ydeVWYZ)	2
Carbohydrates	Clustering-based subsystems	Unknown_sugar_utilization_(cluster_yphABCDEFG)	6
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme_A_Biosynthesis	138
Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.1690	160
Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.461	2
Clustering-based subsystems	D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	CBSS-342610.3.peg.283	9
DNA Metabolism	DNA Metabolism	CRISPRs	2
DNA Metabolism	DNA Metabolism	Conjugative_transposon,_Bacteroidales	142
DNA Metabolism	DNA Metabolism	Restriction-Modification_System	30
DNA Metabolism	DNA Metabolism	YcfH	1
Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536	3
DNA Metabolism	DNA repair	2-phosphoglycolate_salvage	3
DNA Metabolism	DNA repair	DNA_Repair_Base_Excision	133
DNA Metabolism	DNA repair	DNA_repair,_UvrABC_system	217
DNA Metabolism	DNA repair	DNA_repair,_bacterial	373
DNA Metabolism	DNA repair	DNA_repair,_bacterial_RecFOR_pathway	120
DNA Metabolism	DNA replication	DNA-replication	376
DNA Metabolism	DNA replication	DNA_topoisomerases,_Type_I,_ATP-independent	39
Virulence	Detection	MLST	3
Stress Response	Detoxification	D-tyrosyl-tRNA(Tyr)_deacylase	8
Nucleosides and Nucleotides	Detoxification	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	21
Carbohydrates	Di- and oligosaccharides	Beta-Glucoside_Metabolism	56
Carbohydrates	Di- and oligosaccharides	Fructooligosaccharides(FOS)_and_Raffinose_Utilization	11
Carbohydrates	Di- and oligosaccharides	Lactose_and_Galactose_Uptake_and_Utilization	277
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	296
Carbohydrates	Di- and oligosaccharides	Melibiose_Utilization	9
Carbohydrates	Di- and oligosaccharides	Sucrose_Metabolism	165
Carbohydrates	Di- and oligosaccharides	Sucrose_utilization	16
Carbohydrates	Di- and oligosaccharides	Trehalose_Biosynthesis	46
Carbohydrates	Di- and oligosaccharides	Trehalose_Uptake_and_Utilization	26
Respiration	Electron accepting reactions	Anaerobic_respiratory_reductases	23
Respiration	Electron accepting reactions	Terminal_cytochrome_oxidases	70
Respiration	Electron accepting reactions	trimethylamine_N-oxide_(TMAO)_reductase	10
Respiration	Electron donating reactions	Formate_dehydrogenase	2
Respiration	Electron donating reactions	Hydrogenases	87
Respiration	Electron donating reactions	Membrane-bound_Ni,_Fe-hydrogenase	1
Respiration	Electron donating reactions	Na(+)-translocating_NADH-quinone_oxidoreductase_and_rnf-like_group_of_electron_transport_complexes	188
Respiration	Electron donating reactions	NiFe_hydrogenase_maturation	13
Respiration	Electron donating reactions	Respiratory_Complex_I	200
Respiration	Electron donating reactions	Respiratory_dehydrogenases_1	52
Respiration	Electron donating reactions	Succinate_dehydrogenase	26
Fatty Acids and Lipids	Fatty Acids and Lipids	Polyhydroxybutyrate_metabolism	18
Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-218491.3.peg.427	112
Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364	53
Fatty Acids and Lipids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	23
Fatty Acids and Lipids	Fatty acids	Unsaturated_Fatty_Acid_Metabolism	7
Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S clusters	Fe-S_cluster_assembly	47
Carbohydrates	Fermentation	Acetoin,_butanediol_metabolism	81
Carbohydrates	Fermentation	Acetyl-CoA_fermentation_to_Butyrate	15
Carbohydrates	Fermentation	Butanol_Biosynthesis	43
Carbohydrates	Fermentation	Fermentations:_Lactate	103
Carbohydrates	Fermentation	Fermentations:_Mixed_acid	82
Motility and Chemotaxis	Flagellar motility in Prokaryota	Flagellum	48
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like_protein	57
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate_Biosynthesis	275
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdopterin_biosynthesis	11
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	YgfZ	19
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	p-Aminobenzoyl-Glutamate_Utilization	2
Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	98
Cell Wall and Capsule	Gram-Negative cell wall components	Capsular_heptose_biosynthesis	6
Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid_A_biosynthesis	161
Cell Wall and Capsule	Gram-Negative cell wall components	LOS_core_oligosaccharide_biosynthesis	56
Cell Wall and Capsule	Gram-Negative cell wall components	Lipid_A-Ara4N_pathway_(_Polymyxin_resistance_)	11
