Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	48
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	64
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	43
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	25
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	6
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	7
Membrane Transport	ABC transporters	ABC_transporter_nickel_(TC_3.A.1.5.3)	1
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	81
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	56
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	11
Respiration	ATP synthases	F0F1-type_ATP_synthase	117
Respiration	ATP synthases	V-Type_ATP_synthase	1
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	23
Virulence	Adhesion	Curli_production	36
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	127
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	19
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	32
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	160
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	49
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	115
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	172
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	125
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	51
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	94
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	162
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	109
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	3
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	32
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	101
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	15
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	22
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	163
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	44
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	10
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	73
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	67
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	77
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	308
Amino Acids and Derivatives	Branched-chain amino acids	Isoleucine_degradation	3
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	16
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	15
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	37
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	67
Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534	21
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate_Biosynthesis	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	114
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide_Biosynthesis	2
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	142
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	68
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	178
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	52
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	76
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	40
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	185
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	11
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	435
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	42
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	57
Cell Wall and Capsule	Cell Wall and Capsule	YjeE	39
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cell_Division	91
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Bacterial_Cytoskeleton	301
Cell Division and Cell Cycle	Cell cycle in Prokaryota	MukBEF_Chromosome_Condensation	80
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Murein_hydrolase_regulation_and_cell_death	30
Cell Division and Cell Cycle	Cell cycle in Prokaryota	Two_cell_division_clusters_relating_to_chromosome_partitioning	14
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	99
Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone_kinases	62
Carbohydrates	Central carbohydrate metabolism	Embden-Meyerhof_and_Gluconeogenesis_Archaeal	65
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	294
Carbohydrates	Central carbohydrate metabolism	Glycogen_metabolism	108
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	106
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	39
Carbohydrates	Central carbohydrate metabolism	Methylglyoxal_Metabolism	11
Carbohydrates	Central carbohydrate metabolism	Pentose_phosphate_pathway	162
Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin_oxidoreductase	33
Carbohydrates	Central carbohydrate metabolism	Pyruvate_Alanine_Serine_Interconversions	28
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	77
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	88
Carbohydrates	Central carbohydrate metabolism	TCA_Cycle	405
Clustering-based subsystems	Cluster of Unknown Function	CBSS-221988.1.peg.771	93
Clustering-based subsystems	Clustering-based subsystems	Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	30
Clustering-based subsystems	Clustering-based subsystems	CBSS-160492.1.peg.550	33
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.1389	3
Clustering-based subsystems	Clustering-based subsystems	CBSS-176279.3.peg.868	34
Clustering-based subsystems	Clustering-based subsystems	CBSS-176299.4.peg.1996	124
Clustering-based subsystems	Clustering-based subsystems	CBSS-214092.1.peg.3450	39
Clustering-based subsystems	Clustering-based subsystems	CBSS-224911.1.peg.435	3
Clustering-based subsystems	Clustering-based subsystems	CBSS-228410.1.peg.134	40
Clustering-based subsystems	Clustering-based subsystems	CBSS-235.1.peg.567	55
Clustering-based subsystems	Clustering-based subsystems	CBSS-243277.1.peg.4359	21
Clustering-based subsystems	Clustering-based subsystems	CBSS-251221.1.peg.1863	33
Clustering-based subsystems	Clustering-based subsystems	CBSS-257314.1.peg.752	87
Clustering-based subsystems	Clustering-based subsystems	CBSS-261591.3.peg.3916	44
Clustering-based subsystems	Clustering-based subsystems	CBSS-262719.3.peg.410	1
Clustering-based subsystems	Clustering-based subsystems	CBSS-266117.6.peg.2476	126
Clustering-based subsystems	Clustering-based subsystems	CBSS-281090.3.peg.464	14
Clustering-based subsystems	Clustering-based subsystems	CBSS-288681.3.peg.1039	30
Clustering-based subsystems	Clustering-based subsystems	CBSS-290633.1.peg.1906	33
Clustering-based subsystems	Clustering-based subsystems	CBSS-292415.3.peg.2341	12
Clustering-based subsystems	Clustering-based subsystems	CBSS-296591.1.peg.2330	16
Clustering-based subsystems	Clustering-based subsystems	CBSS-312309.3.peg.1965	73
Clustering-based subsystems	Clustering-based subsystems	CBSS-316057.3.peg.1294	26
