Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_Iron_(II)_and_Manganese	2
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	6
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	181
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	152
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	6
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	5
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	6
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	35
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	9
Respiration	ATP synthases	F0F1-type_ATP_synthase	275
Respiration	ATP synthases	V-Type_ATP_synthase	7
Virulence	Adhesion	Curli_production	2
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	92
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	30
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	13
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	47
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	114
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	161
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	21
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	256
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	48
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	4
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	19
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	59
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	13
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	4
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids	18
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	109
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	7
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	2
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	291
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	68
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	1
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	197
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	209
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	68
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	480
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	1
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	4
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate_Biosynthesis	26
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	15
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	9
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Phosphorylcholine_incorporation_in_LPS	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	152
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	82
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	208
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	244
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	6
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	339
Clustering-based subsystems	Cell Division	Cell_Division_Cluster	16
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	33
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	731
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	37
