Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	28
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	82
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	65
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	21
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	22
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	8
Membrane Transport	ABC transporters	ABC_transporter_nickel_(TC_3.A.1.5.3)	1
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	60
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	28
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	19
Respiration	ATP synthases	F0F1-type_ATP_synthase	197
Respiration	ATP synthases	V-Type_ATP_synthase	2
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	9
Virulence	Adhesion	Adhesins_in_Staphylococcus	2
Virulence	Adhesion	Curli_production	17
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	97
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	12
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	33
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	63
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	81
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	88
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	79
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Hydroxyaromatic_decarboxylase_family	18
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	233
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	33
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	38
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	100
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	61
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Urea_decomposition	3
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aminotransferases:Aromatic_Pathway_and_More,_A_work_in_progress	4
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	38
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_interconversions_with_aryl_acids	9
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	105
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	53
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	90
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	198
