10804,Adeno-associated virus - 2,virus
404589,Anaeromyxobacter sp. Fw109-5,bacteria
505711,Andalucia godoyi,protozoa
444705,Andalucia incarcerata,protozoa
224325,Archaeoglobus fulgidus DSM 4304,bacteria
35270,Avian sarcoma virus 31,virus
10260,Avipoxvirus,virus
32595,Babesia divergens,protozoa
272558,Bacillus halodurans C-125,bacteria
315750,Bacillus pumilus SAFR-032,bacteria
341053,Beilong virus,virus
75058,Bodo saltans,protozoa
520,Bordetella pertussis,bacteria
206156,Bovine enteric calicivirus,virus
11099,Bovine viral diarrhea virus 1,virus
331271,Burkholderia cenocepacia AU 1054,bacteria
331272,Burkholderia cenocepacia HI2424,bacteria
216591,Burkholderia cenocepacia J2315,bacteria
406425,Burkholderia cenocepacia MC0-3,bacteria
266265,Burkholderia xenovorans LB400,bacteria
237561,Candida albicans SC5314,yeast
573826,Candida dubliniensis CD36,yeast
5478,Candida glabrata,yeast
284593,Candida glabrata CBS 138,yeast
294747,Candida tropicalis MYA-3404,yeast
11793,Cas NS-1 murine leukemia virus,virus
813,Chlamydia trachomatis,bacteria
580049,Chlamydia trachomatis B/Jali20/OT,bacteria
672161,Chlamydia trachomatis B/TZ1A828/OT,bacteria
759363,Chlamydia trachomatis D-EC,bacteria
759364,Chlamydia trachomatis D-LC,bacteria
707187,Chlamydia trachomatis G/11074,bacteria
707186,Chlamydia trachomatis G/11222,bacteria
718219,Chlamydia trachomatis G/9301,bacteria
707185,Chlamydia trachomatis G/9768,bacteria
319225,Chlorobium luteolum DSM 273,bacteria
507873,Cholamonas cyrtodiopsidis,protozoa
546,Citrobacter freundii,bacteria
290338,Citrobacter koseri ATCC BAA-895,bacteria
637910,Citrobacter rodentium ICC168,bacteria
290402,Clostridium beijerinckii NCIMB 8052,bacteria
5980,Colpoda inflata,protozoa
38289,Corynebacterium jeikeium,bacteria
216432,Croceibacter atlanticus HTCC2559,bacteria
28141,Cronobacter sakazakii,bacteria
290339,Cronobacter sakazakii ATCC BAA-894,bacteria
693216,Cronobacter turicensis z3032,bacteria
2898,Cryptomonas paramecium,protozoa
353151,Cryptosporidium hominis TU502,protozoa 
353152,Cryptosporidium parvum Iowa II,protozoa 
164546,Cupriavidus taiwanensis,bacteria
4959,Debaryomyces hansenii,yeast
284592,Debaryomyces hansenii CBS767,yeast
590409,Dickeya dadantii Ech586,bacteria
579405,Dickeya dadantii Ech703,bacteria
561229,Dickeya zeae Ech1591,bacteria
398580,Dinoroseobacter shibae DFL 12,protozoa
634503,Edwardsiella ictaluri 93-146,bacteria
498217,Edwardsiella tarda EIB202,bacteria
718251,Edwardsiella tarda FL6-60,bacteria
701347,Enterobacter cloacae SCF1,bacteria
716541,Enterobacter cloacae subsp. cloacae ATCC 13047,bacteria
718254,Enterobacter cloacae subsp. cloacae NCTC 9394,bacteria
399742,Enterobacter sp. 638,bacteria
101493,Entosiphon sulcatum,protozoa
716540,Erwinia amylovora ATCC 49946,bacteria
889211,Erwinia amylovora ATCC BAA-2158,bacteria
665029,Erwinia amylovora CFBP1430,bacteria
634500,Erwinia billingiae Eb661,bacteria
644651,Erwinia pyrifoliae DSM 12163,bacteria
634499,Erwinia pyrifoliae Ep1/96,bacteria
215689,Erwinia sp. Ejp617,bacteria
562,Escherichia coli,bacteria
866768,Escherichia coli 'BL21-Gold(DE3)pLysS AG',bacteria
216592,Escherichia coli 042,bacteria
362663,Escherichia coli 536,bacteria
585055,Escherichia coli 55989,bacteria
655817,Escherichia coli ABU 83972,bacteria
405955,Escherichia coli APEC O1,bacteria
481805,Escherichia coli ATCC 8739,bacteria
413997,Escherichia coli B str. REL606,bacteria
469008,Escherichia coli BL21(DE3),bacteria
595496,Escherichia coli BW2952,bacteria
199310,Escherichia coli CFT073,bacteria
536056,Escherichia coli DH1,bacteria
331111,Escherichia coli E24377A,bacteria
585397,Escherichia coli ED1a,bacteria
316401,Escherichia coli ETEC H10407,bacteria
331112,Escherichia coli HS,bacteria
585034,Escherichia coli IAI1,bacteria
585057,Escherichia coli IAI39,bacteria
714962,Escherichia coli IHE3034,bacteria
83333,Escherichia coli K-12,bacteria
591946,Escherichia coli LF82,bacteria
585395,Escherichia coli O103:H2 str. 12009,bacteria
585396,Escherichia coli O111:H- str. 11128,bacteria
574521,Escherichia coli O127:H6 str. E2348/69,bacteria
83334,Escherichia coli O157:H7,bacteria
444450,Escherichia coli O157:H7 str. EC4115,bacteria
155864,Escherichia coli O157:H7 str. EDL933,bacteria
386585,Escherichia coli O157:H7 str. Sakai,bacteria
544404,Escherichia coli O157:H7 str. TW14359,bacteria
573235,Escherichia coli O26:H11 str. 11368,bacteria
366837,Escherichia coli O55:H6,bacteria
244320,Escherichia coli O55:H7,bacteria
701177,Escherichia coli O55:H7 str. CB9615,bacteria
217992,Escherichia coli O6,bacteria
685038,Escherichia coli O83:H1 str. NRG 857C,bacteria
585035,Escherichia coli S88,bacteria
409438,Escherichia coli SE11,bacteria
431946,Escherichia coli SE15,bacteria
439855,Escherichia coli SMS-3-5,bacteria
316385,Escherichia coli str. K-12 substr. DH10B,bacteria
511145,Escherichia coli str. K-12 substr. MG1655,bacteria
316407,Escherichia coli str. K-12 substr. W3110,bacteria
869729,Escherichia coli UM146,bacteria
585056,Escherichia coli UMN026,bacteria
364106,Escherichia coli UTI89,bacteria
566546,Escherichia coli W,bacteria
585054,Escherichia fergusonii ATCC 35469,bacteria
657319,Eubacterium siraeum 70/3,bacteria
717961,Eubacterium siraeum V10Sc8a,bacteria
443144,Geobacter sp. M21,bacteria
5741,Giardia intestinalis,protozoa
184922,Giardia lamblia ATCC 50803,protozoa
391165,Granulibacter bethesdensis CGDNIH1,bacteria
646463,Gymnophrys sp. ATCC 50923,protozoa
727,Haemophilus influenzae,bacteria
656519,Halanaerobium sp. 'sapolanicus',bacteria
309800,Haloferax volcanii DS2,bacteria
382638,Helicobacter acinonychis str. Sheeba,bacteria
210,Helicobacter pylori,bacteria
85962,Helicobacter pylori 26695,bacteria
869727,Helicobacter pylori 908,bacteria
592205,Helicobacter pylori B38,bacteria
693745,Helicobacter pylori B8,bacteria
563041,Helicobacter pylori G27,bacteria
85963,Helicobacter pylori J99,bacteria
570508,Helicobacter pylori P12,bacteria
765962,Helicobacter pylori SJM180,bacteria
10407,Hepatitis B virus,virus
129526,HERV-H/env60,virus
192219,Heterocapsa arctica,protozoa
66468,Heterocapsa triquetra,protozoa
135588,Histomonas meleagridis,protozoa
10533,Human adenovirus 1,virus
28282,Human adenovirus 12,virus
10515,Human adenovirus 2,virus
52275,Human adenovirus 37,virus
28285,Human adenovirus 5,virus
10534,Human adenovirus 6,virus
129951,Human adenovirus C,virus
879186,Human adenovirus JJS-2010,virus
11827,Human endogenous retrovirus,virus
352454,Human endogenous retrovirus FRD,virus
135210,Human endogenous retrovirus HERV-K(II),virus
45617,Human endogenous retrovirus K,virus
10335,Human herpesvirus 3,virus
10566,Human papillomavirus,virus
337042,Human papillomavirus 18,virus
333760,Human papillomavirus type 16,virus
333761,Human papillomavirus type 18,virus
10593,Human papillomavirus type 45,virus
10599,Human papillomavirus type 5b,virus
45240,Human papillomavirus type 68,virus
11908,Human T-lymphotropic virus 1,virus
11320,Influenza A virus,virus
680525,Influenza A virus (A/avian/New Jersey/437109/2006(H5N2)),virus
680534,Influenza A virus (A/chicken/New York/439236/2006(H5N2)),virus
680535,Influenza A virus (A/chicken/Pennsylvania/446080-7/2006(H5N2)),virus
680546,Influenza A virus (A/duck/New York/440409/2006(H5N2)),virus
680547,Influenza A virus (A/duck/New York/440410/2006(H5N2)),virus
675017,Influenza A virus (A/duck/Pennsylvania/446080-6/2006(H5N2)),virus
675018,Influenza A virus (A/duck/Pennsylvania/446080-7/2006(H5N2)),virus
11520,Influenza B virus,virus
290400,Jannaschia sp. CCS1,bacteria
339963,Katablepharis japonica,protozoa
507522,Klebsiella pneumoniae 342,bacteria
484021,Klebsiella pneumoniae NTUH-K2044,bacteria
272620,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,bacteria
640131,Klebsiella variicola At-22,bacteria
28985,Kluyveromyces lactis,yeast
284590,Kluyveromyces lactis NRRL Y-1140,yeast
4911,Kluyveromyces marxianus,yeast
881953,Lactococcus phage 949,virus
557598,Laribacter hongkongensis HLHK9,bacteria
649349,Leadbetterella byssophila DSM 17132,bacteria
446,Legionella pneumophila,bacteria
423212,Legionella pneumophila 2300/99 Alcoy,bacteria
400673,Legionella pneumophila str. Corby,bacteria
5660,Leishmania braziliensis,protozoa
5671,Leishmania infantum,protozoa
435258,Leishmania infantum JPCM5,protozoa
347515,Leishmania major strain Friedlin,protozoa
379508,Lodderomyces elongisporus NRRL YB-4239,yeast
313603,Maribacter sp. HTCC2170,bacteria
242541,Mayorella sp. JJP-2003,protozoa
81824,Monosiga brevicollis,protozoa
431895,Monosiga brevicollis MX1,protozoa
89382,Multiple sclerosis associated retrovirus element,retrovirus
1764,Mycobacterium avium,bacteria
1773,Mycobacterium tuberculosis,bacteria
5762,Naegleria gruberi,protozoa
547559,Natrialba magadii ATCC 43099,bacteria
37329,Nocardia farcinica,bacteria
279238,Novosphingobium aromaticivorans DSM 12444,bacteria
412030,Paramecium tetraurelia strain d4-2,protozoa
561230,Pectobacterium carotovorum subsp. carotovorum PC1,bacteria
423536,Perkinsus marinus ATCC 50983,protozoa
244,Planomicrobium okeanokoites,bacteria
31271,Plasmodium chabaudi chabaudi,protozoa
5833,Plasmodium falciparum,protozoa
5851,Plasmodium knowlesi strain H,protozoa
126793,Plasmodium vivax SaI-1,protozoa
352914,Plasmodium yoelii yoelii str. 17XNL,protozoa
312153,Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1,bacteria
222925,Proterospongia sp. ATCC 50818,protozoa
287,Pseudomonas aeruginosa,bacteria
557722,Pseudomonas aeruginosa LESB58,bacteria
381754,Pseudomonas aeruginosa PA7,bacteria
208964,Pseudomonas aeruginosa PAO1,bacteria
208963,Pseudomonas aeruginosa UCBPP-PA14,bacteria
384676,Pseudomonas entomophila L48,bacteria
220664,Pseudomonas fluorescens Pf-5,bacteria
205922,Pseudomonas fluorescens Pf0-1,bacteria
216595,Pseudomonas fluorescens SBW25,bacteria
931281,Pseudomonas putida BIRD-1,bacteria
76869,Pseudomonas putida GB-1,bacteria
306,Pseudomonas sp.,bacteria
381666,Ralstonia eutropha H16,bacteria
11632,Retroviridae,virus
1061,Rhodobacter capsulatus,bacteria
272942,Rhodobacter capsulatus SB 1003,bacteria
269796,Rhodospirillum rubrum ATCC 11170,bacteria
680646,Rothia mucilaginosa DY-18,bacteria
246200,Ruegeria pomeroyi DSS-3,bacteria
292414,Ruegeria sp. TM1040,bacteria
213810,Ruminococcus sp. 18P13,bacteria
28901,Salmonella enterica,bacteria
41514,"Salmonella enterica subsp. arizonae serovar 62:z4,z23:--",bacteria
454166,Salmonella enterica subsp. enterica serovar Agona str. SL483,bacteria
321314,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,bacteria
439851,Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,bacteria
550537,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,bacteria
550538,Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,bacteria
454169,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,bacteria
423368,Salmonella enterica subsp. enterica serovar Newport str. SL254,bacteria
554290,Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601,bacteria
295319,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,bacteria
272994,Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,bacteria
476213,Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,bacteria
439843,Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,bacteria
90370,Salmonella enterica subsp. enterica serovar Typhi,bacteria
209261,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,bacteria
90371,Salmonella enterica subsp. enterica serovar Typhimurium,bacteria
