"NCBIanno","r.squared","Intercept","Firmicutes.coef","Actinobacter.coef","BF.indicator","Firm.coef.p","Actino.coef.p","BF.coef.p"
"AA883347.1",0.673893890354207,4.80985605411249,2.25949067381341,1.07126320216430,0.696904584750956,0.0199419006676521,0.0140626741023343,0.0325720190510219
"BC015142.1",0.63265540603078,-0.358581889203596,15.7605556108708,7.09601165914802,6.08016562873819,0.0331269140825114,0.0296782582369915,0.0219562890439442
"AA992205.1",0.646276236386757,0.105773196365022,12.8729290051140,7.41249007469758,5.00810794265275,0.0491326739924278,0.0166897798283127,0.0326724684785117
"BQ710700.1",0.673488577029237,0.0503724158254809,11.4394574801774,5.73744617609208,4.44509558026659,0.0290853768741013,0.0164888756718427,0.018486711391503
"CR612843.1",0.741437759083644,3.09284442544322,4.69445272326278,1.74880507858369,1.70850472577037,0.00668221541535088,0.0143032110530589,0.00534938821755688
"BC011242.1",0.610318605682887,0.475019596761175,15.6359972522986,6.5063557730149,6.1849984618171,0.0373945372277068,0.0449852291807874,0.022599703529669
"BC039614.1",0.700594622733404,11.3278493059155,-7.11724885058225,-2.07312303157496,-2.32659511455152,0.00653569052367867,0.0385094974181297,0.00888661474038464
"AI286165.1",0.840932743758605,4.17035480099035,3.04833125270393,1.33988536190094,0.753349488451227,0.00206819552298263,0.00202023900322260,0.0118181166602249
"NM_006030.2",0.71676633303773,5.63609475897223,3.03608785270516,1.25231450632468,0.940431616091233,0.0181591866737067,0.0183892211661433,0.0232695084532575
"AA903230.1",0.6303156652318,0.150074646108161,17.2145147875048,7.34927930963401,6.30227329676024,0.0275379029914298,0.0303863767070294,0.0224368524666256
"AW168103.1",0.697584144194413,1.47139659866056,8.01722228743166,4.40626204411072,3.18262724567165,0.0298603505139651,0.0112459495959675,0.0173481183465981
"AF075065.1",0.648538953493769,0.755801319877804,17.9118423853476,7.54967107072497,6.78254984861677,0.024703978399189,0.0287465511894022,0.0173392437243986
"BM988783.1",0.629465180563324,-0.997095451780922,16.5046223156503,7.3869400618945,6.50206986584509,0.0354522408353862,0.0325533919274049,0.0216678026585092
"NM_005994.3",0.601393420753484,5.32574121580989,1.89019794307951,0.89021234589479,0.67259691094851,0.0399145582279852,0.0302131570407271,0.0368037630274251
"AK057616.1",0.796527060058995,4.81342735075087,2.42833435060187,0.972066436879177,1.15896316173773,0.0115611142552271,0.0172574358005291,0.0023403366520713
"AK024214.1",0.651993136801679,-0.0297519791625682,12.1881588676683,6.05444497670598,5.18278911602994,0.0433977242913121,0.0267860355253277,0.0197751204140397
"AI219774.1",0.805178594135998,5.04362040537449,1.83368848627183,0.678156891933368,1.03802574125867,0.0265384085805546,0.0499274854392843,0.00262936631564185
"AK058158.1",0.743960919660625,12.0485254092682,-8.41688656980913,-3.40292926470577,-2.68123713116879,0.00629170345350352,0.00926397451973192,0.0096911057937552
"NM_001235.2",0.836466463632325,4.59438111716465,4.17895031766034,0.936962684945816,1.34487861248932,0.000611411774165802,0.0195966153409984,0.00097059305342423
"AK095619.1",0.639824936272889,0.329542189532068,12.2384900095931,6.41326108624822,4.9704095336379,0.0464310287771806,0.0232696321618164,0.0258772544269084
"AA018367.1",0.590021493497994,1.38584889652172,16.0085853037211,6.96692738651098,6.38962785914966,0.0475838015472182,0.0485458793122766,0.0285223354510871
"AI862231.1",0.645765946761805,5.3245565275376,3.21630431858957,1.12271400991929,1.02023577598128,0.0145253676859118,0.0368401443396737,0.021726119153836
"AA528003.1",0.646559657483329,0.00712341004330188,13.2891396970516,6.88604459438895,5.66441040688896,0.048885975889442,0.0258624288442486,0.0225384869885294
"AW515836.1",0.639510520138975,-0.809386190718266,17.2714037391419,7.78460782100959,6.40133159651086,0.0287427562957514,0.0255538820461957,0.0222948078779418
"AI884383.1",0.70304971432413,2.12418777269182,5.9002059398433,3.28094898758304,2.43067131429524,0.0483341221814615,0.0217087350184737,0.0281893796886464
"BI462501.1",0.789944301693013,7.20920311721026,1.42355676245420,-0.657209500348606,0.493409220360798,0.0266859851292306,0.0214385304477346,0.0271670953294060
"AW969855.1",0.736481319291328,3.99945287469576,3.22751389988356,1.63740189699462,0.909583814310747,0.0127682919130600,0.00630847513858894,0.0312059902704019
"N67756.1",0.700947793400819,3.45398970260467,4.0499322660291,2.35917639002496,1.81957696693722,0.0450567038314866,0.0142250310509473,0.0163113010510165
"NM_021953.2",0.808539735839064,6.81327773941433,-1.24871178964598,0.779637687350347,-0.503410592569517,0.0465472702813082,0.0107996213742044,0.0267342339422990
"AU146580.1",0.659856623943886,3.7670825476863,4.64512019551156,1.65554642864177,1.82216869168524,0.0194295037420992,0.0435997824370021,0.0114270898098736
"AK097575.1",0.86753598098721,4.98643286363356,2.54913620155821,1.21343214518200,0.589527450746834,0.00161956474178669,0.00100305499567062,0.0130976660952371
"BX093963.1",0.871946585566342,5.73273412224284,1.73317961259447,0.482699572037015,0.374181710339991,0.00065394246106561,0.00765794444714747,0.00867576436580018
"H15153.1",0.814879150030738,4.68998201100143,2.5608541099473,0.629699945745395,0.993409547755652,0.00175268525956743,0.0283818491103200,0.000945872648098215
"BX090838.1",0.752210737907303,5.90667081182777,1.45524932263717,0.675500182091187,0.409619097415419,0.00828885250839727,0.00620997261334403,0.0216274881888806
"BF515619.1",0.612597958884675,5.19365770299411,1.82507747115241,0.861910795854859,0.587574817376874,0.0340321217659633,0.0252195072432338,0.0454336825092969
"NM_053050.2",0.746280203771747,-2.70168636723976,19.7402392592449,5.69882961571929,6.95449079896992,0.00983981902735693,0.0408655353212937,0.00731553865896132
"AA397442.1",0.657816002054835,0.126335560620888,12.1774807247279,6.1642380418277,4.94191633644731,0.0376245763768496,0.0211290224833423,0.0204413380939109
"AL832995.1",0.656044483303964,4.77800492352867,5.41833750050843,1.90297775592793,1.76871208773325,0.0134345473002855,0.033704592651325,0.0178647427304705
"NM_005346.3",0.767418693899594,0.901610868155336,7.50646429774471,4.23747802077281,3.75569436761753,0.0329048932117935,0.0111525501677011,0.00663281258925327
"NM_014389.1",0.652987598762334,4.19989712292075,2.90871179983597,1.19768259398848,1.06977723764663,0.0213368290797591,0.0273999800542172,0.0168720154063612
"BC042989.1",0.725245352874962,-0.107983907693941,12.9355864374528,4.49994680971903,4.91128823964076,0.00837327671973718,0.0234200581528214,0.00545416545913384
"BI464964.1",0.64952608423443,5.11577451412575,3.99561457101687,1.50993632520716,1.38573485578835,0.0233998472305175,0.0444592249245692,0.0277096968609690
"AI654416.1",0.66372539278793,7.94646232319684,-3.26618025139029,-1.26906827780440,-1.14854603297406,0.0160037328698565,0.0264392453650774,0.0153122351847661
"AL049966.1",0.674348977861675,1.03090049539729,10.0559776706958,5.42287848476437,4.48669299489021,0.048012451568411,0.0214851651039766,0.0181761089472344
