name	log.BF.FF.2.	p	q	log.BF.2.	log.FF.2.
IFITM3	-0.0665171455208613	0.6863951678608	0.550764602500552	6.71077640551679	6.77729355103765
HSPB1	1.72630438805969	0.0520411876488106	0.206722444907012	8.08004736556082	6.35374297750113
ITGB5	0.159896345139197	0.610405548168187	0.528875003878713	6.15702340751896	5.99712706237976
NOTCH2	1.17483061354504	0.0818048597643889	0.231883011387140	7.24313998550191	6.06830937195687
VWF	-0.456317472240563	0.0279662692753032	0.202615805639396	5.5949495056015	6.05126697784206
ANXA8	-0.249460377959934	0.0586482143324225	0.210086709201253	5.8514622790293	6.10092265698923
SLAMF7	-0.0866096733631458	0.710359269804622	0.554204225196979	5.85200870806906	5.93861838143220
TFPI	-0.0272839238038616	0.868461708441142	0.600737148010285	7.88447918850553	7.91176311230939
CD96	0.166366921605786	0.309518038897667	0.374032800256062	6.007890216631	5.84152329502521
IL17B	-0.385068191922807	0.0297963814239676	0.202615805639396	8.2527390611244	8.63780725304721
IL27RA	0.290464443773326	0.384345262081475	0.411199020437943	6.61083080527987	6.32036636150654
NKTR	0.34470859787345	0.272599976409031	0.351692887282142	6.14496072176428	5.80025212389083
STAT2	-0.401869734555877	0.0296667996380336	0.202615805639396	6.27974962589757	6.68161936045344
AIM2	0.0197945703978455	0.895988595523363	0.610521274422765	6.27242103973072	6.25262646933287
PLAU	0.0534758620147775	0.946606301203547	0.621569918504338	6.8550670695404	6.80159120752563
IFIT1	0.909543782531581	0.0533153033485299	0.207134017478535	6.18914184630079	5.27959806376921
PDGFRA	-0.150873328520970	0.141337438959479	0.271122906216808	6.62218877539123	6.7730621039122
GAB1	-0.639676180591063	9.56755347934416e-07	0.000191925513016665	7.47517562507232	8.11485180566338
AHSG	0.237800957653312	0.131268221351695	0.270142003480056	7.0093855139888	6.77158455633549
LRRC57	0.0391330308157878	0.830810864046177	0.596165496833564	6.03183233316757	5.99269930235179
IL17D	0.129294969311162	0.584736110201286	0.521325787538245	7.3956929557977	7.26639798648654
FYN	-0.0835380950354905	0.632332385610459	0.53977078491805	5.77158786381597	5.85512595885146
EPHX1	0.425686818859643	0.0922346693155028	0.236062211874388	6.37400308016779	5.94831626130815
APLN	0.131149711924407	0.573875987297668	0.515497541445834	6.28012227542602	6.14897256350161
SLAMF8	0.0312891758274523	0.923027248518369	0.612097991793409	6.83450963305176	6.80322045722431
HLA-E	0.722325814914109	0.122320164642450	0.270142003480056	6.29890216170828	5.57657634679417
HLA-DQA1	-0.190339108081068	0.186531273589804	0.304213411061163	6.65084225965965	6.84118136774072
MSRA	0.182123269631213	0.398053264944811	0.420261301565412	5.98119848687494	5.79907521724373
TNF	0.209852332732832	0.235847606144560	0.325844516808549	6.8196542700894	6.60980193735657
